gbifID,kingdom,phylum,class,order,family,genus,species,taxonRank,scientificName,locality,stateProvince,occurrenceStatus,individualCount,decimalLatitude,decimalLongitude,,,,,,,,,,,,,,,,,,,,,,,,,,,
786125463,Animalia,Chordata,Amphibia,Caudata,Plethodontidae,Phaeognathus,Phaeognathus hubrichti,SPECIES,"Phaeognathus hubrichti Highton, 1961",3 MI NW MCKENZIE,Alabama,PRESENT,1,31.54,-86.66,,,,,,,,,,,,,,,,,,,,,,,,,,,
786125459,Animalia,Chordata,Amphibia,Caudata,Plethodontidae,Phaeognathus,Phaeognathus hubrichti,SPECIES,"Phaeognathus hubrichti Highton, 1961",3 MI NW MCKENZIE,Alabama,PRESENT,1,31.54,-86.66,,,,,,,,,,,,,,,,,,,,,,,,,,,
2269061088,Animalia,Chordata,Amphibia,Caudata,Plethodontidae,Phaeognathus,Phaeognathus hubrichti,SPECIES,"Phaeognathus hubrichti Highton, 1961",near McKenzie,Alabama,PRESENT,,31.542387,-86.714969,,,,,,,,,,,,,,,,,,,,,,,,,,,
2269060786,Animalia,Chordata,Amphibia,Caudata,Plethodontidae,Phaeognathus,Phaeognathus hubrichti,SPECIES,"Phaeognathus hubrichti Highton, 1961",near McKenzie,Alabama,PRESENT,,31.542387,-86.714969,,,,,,,,,,,,,,,,,,,,,,,,,,,
2269060588,Animalia,Chordata,Amphibia,Caudata,Plethodontidae,Phaeognathus,Phaeognathus hubrichti,SPECIES,"Phaeognathus hubrichti Highton, 1961",near McKenzie,Alabama,PRESENT,,31.542387,-86.714969,,,,,,,,,,,,,,,,,,,,,,,,,,,
2269060546,Animalia,Chordata,Amphibia,Caudata,Plethodontidae,Phaeognathus,Phaeognathus hubrichti,SPECIES,"Phaeognathus hubrichti Highton, 1961",near McKenzie,Alabama,PRESENT,,31.542387,-86.714969,,,,,,,,,,,,,,,,,,,,,,,,,,,
5147063684,Animalia,Chordata,Amphibia,Caudata,Plethodontidae,Phaeognathus,Phaeognathus hubrichti,SPECIES,"Phaeognathus hubrichti Highton, 1961","Moceans Woods, McKenzie",Alabama,PRESENT,,31.543,-86.7153,,,,,,,,,,,,,,,,,,,,,,,,,,,
476793445,Animalia,Chordata,Amphibia,Caudata,Plethodontidae,Phaeognathus,Phaeognathus hubrichti,SPECIES,"Phaeognathus hubrichti Highton, 1961","USA: Alabama: Butler: 3 mi NW McKenzie, on US Rte 31",Alabama,PRESENT,2,31.56408,-86.73612,,,,,,,,,,,,,,,,,,,,,,,,,,,
476606200,Animalia,Chordata,Amphibia,Caudata,Plethodontidae,Phaeognathus,Phaeognathus hubrichti,SPECIES,"Phaeognathus hubrichti Highton, 1961","USA: Alabama: Butler: 3 mi NW McKenzie, on US Rte 31",Alabama,PRESENT,1,31.56408,-86.73612,,,,,,,,,,,,,,,,,,,,,,,,,,,
476606199,Animalia,Chordata,Amphibia,Caudata,Plethodontidae,Phaeognathus,Phaeognathus hubrichti,SPECIES,"Phaeognathus hubrichti Highton, 1961","USA: Alabama: Butler: 3 mi NW McKenzie, on US Rte 31",Alabama,PRESENT,1,31.56408,-86.73612,,,,,,,,,,,,,,,,,,,,,,,,,,,
